start_bit,end_bit,entropy_bits_per_bit,p1,entropy_zscore,mi_lag1,mi_lag2,mi_lag3,mi_lag4,mi_lag5,mi_lag6,mi_lag7,mi_lag8,compression_ratio,flagged
83968,92160,0.000000,0.000000,-1.328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
86016,94208,0.000000,0.000000,-1.328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
88064,96256,0.000000,0.000000,-1.328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
90112,98304,0.000000,0.000000,-1.328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
92160,100352,0.000000,0.000000,-1.328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
94208,102400,0.000000,0.000000,-1.328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
96256,104448,0.000000,0.000000,-1.328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
98304,106496,0.000000,0.000000,-1.328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
100352,108544,0.000000,0.000000,-1.328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
102400,110592,0.000000,0.000000,-1.328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
104448,112640,0.000000,0.000000,-1.328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
106496,114688,0.000000,0.000000,-1.328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
108544,116736,0.000000,0.000000,-1.328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
110592,118784,0.000000,0.000000,-1.328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
112640,120832,0.000000,0.000000,-1.328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
114688,122880,0.000000,0.000000,-1.328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
116736,124928,0.000000,0.000000,-1.328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
118784,126976,0.000000,0.000000,-1.328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
120832,129024,0.000000,0.000000,-1.328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
122880,131072,0.000000,0.000000,-1.328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
124928,133120,0.811278,0.250000,0.440,0.809614,0.808194,0.806865,0.805596,0.804371,0.803182,0.802022,0.800886,0.018555,1
126976,135168,1.000000,0.500000,0.852,0.998359,0.996962,0.995656,0.994410,0.993209,0.992042,0.990905,0.989793,0.018555,1
129024,137216,0.811278,0.750000,0.440,0.809614,0.808194,0.806865,0.805596,0.804371,0.803182,0.802022,0.800886,0.018555,1
131072,139264,0.000000,1.000000,-1.328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
133120,141312,0.000000,1.000000,-1.328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
135168,143360,0.000000,1.000000,-1.328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
137216,145408,0.000000,1.000000,-1.328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
139264,147456,0.000000,1.000000,-1.328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
141312,149504,0.000000,1.000000,-1.328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
143360,151552,0.000000,1.000000,-1.328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
145408,153600,0.000000,1.000000,-1.328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
147456,155648,0.000000,1.000000,-1.328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
149504,157696,0.000000,1.000000,-1.328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
151552,159744,0.000000,1.000000,-1.328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
153600,161792,0.000000,1.000000,-1.328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
155648,163840,0.000000,1.000000,-1.328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
157696,165888,0.000000,1.000000,-1.328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
159744,167936,0.000000,1.000000,-1.328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
161792,169984,0.000000,1.000000,-1.328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
163840,172032,0.000000,1.000000,-1.328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
165888,174080,0.000000,1.000000,-1.328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
167936,176128,0.000000,1.000000,-1.328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
169984,178176,0.000000,1.000000,-1.328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
172032,180224,0.000000,1.000000,-1.328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
174080,182272,0.000000,1.000000,-1.328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
176128,184320,0.000000,1.000000,-1.328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
178176,186368,0.000000,1.000000,-1.328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
180224,188416,0.000000,1.000000,-1.328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
182272,190464,0.000000,1.000000,-1.328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
184320,192512,0.000000,1.000000,-1.328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
186368,194560,0.000000,1.000000,-1.328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
188416,196608,0.000000,1.000000,-1.328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016602,1
190464,198656,0.543564,0.875000,-0.143,0.025830,0.541910,0.025817,0.540500,0.025803,0.539180,0.025790,0.537921,0.018555,1
192512,200704,0.811278,0.750000,0.440,0.122521,0.809662,0.122521,0.808290,0.122520,0.807009,0.122520,0.805787,0.018555,1
194560,202752,0.954434,0.625000,0.753,0.347550,0.952821,0.347630,0.951451,0.347711,0.950173,0.347792,0.948955,0.018555,1
196608,204800,1.000000,0.500000,0.852,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.016602,1
198656,206848,1.000000,0.500000,0.852,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.016602,1
200704,208896,1.000000,0.500000,0.852,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.016602,1
202752,210944,1.000000,0.500000,0.852,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.016602,1
204800,212992,1.000000,0.500000,0.852,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.016602,1
206848,215040,1.000000,0.500000,0.852,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.016602,1
208896,217088,1.000000,0.500000,0.852,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.016602,1
210944,219136,1.000000,0.500000,0.852,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.016602,1
212992,221184,1.000000,0.500000,0.852,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.016602,1
215040,223232,1.000000,0.500000,0.852,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.016602,1
217088,225280,1.000000,0.500000,0.852,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.016602,1
219136,227328,1.000000,0.500000,0.852,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.016602,1
221184,229376,1.000000,0.500000,0.852,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.016602,1
223232,231424,1.000000,0.500000,0.852,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.016602,1
225280,233472,1.000000,0.500000,0.852,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.016602,1
227328,235520,1.000000,0.500000,0.852,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.016602,1
229376,237568,1.000000,0.500000,0.852,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.016602,1
231424,239616,1.000000,0.500000,0.852,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.016602,1
233472,241664,1.000000,0.500000,0.852,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.016602,1
235520,243712,1.000000,0.500000,0.852,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.016602,1
237568,245760,1.000000,0.500000,0.852,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.016602,1
239616,247808,1.000000,0.500000,0.852,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.016602,1
241664,249856,1.000000,0.500000,0.852,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.016602,1
243712,251904,1.000000,0.500000,0.852,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.016602,1
245760,253952,1.000000,0.500000,0.852,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.016602,1
247808,256000,1.000000,0.500000,0.852,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.016602,1
249856,258048,1.000000,0.500000,0.852,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.016602,1
251904,260096,1.000000,0.500000,0.852,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.016602,1
253952,262144,1.000000,0.500000,0.852,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.016602,1
256000,264192,0.957527,0.379272,0.759,0.359016,0.886094,0.359102,0.885277,0.359188,0.884465,0.356173,0.885307,0.087891,1
258048,266240,0.824728,0.258667,0.470,0.131538,0.702581,0.131540,0.701875,0.130371,0.702545,0.128276,0.701841,0.133789,1
260096,268288,0.581072,0.138794,-0.061,0.031265,0.414697,0.031251,0.415157,0.029569,0.414502,0.027498,0.416083,0.186523,1
262144,270336,0.128325,0.017700,-1.048,0.000113,0.000113,0.000113,0.000012,0.000006,0.000012,0.000481,0.000063,0.220703,1
264192,272384,0.130442,0.018066,-1.044,0.000017,0.000017,0.000017,0.000017,0.000148,0.000003,0.000447,0.000052,0.221680,1
266240,274432,0.142918,0.020264,-1.017,0.000004,0.000059,0.000209,0.000004,0.000277,0.000058,0.000065,0.000011,0.234375,1
